LAST SEEN   TYPE      REASON                    OBJECT                                              MESSAGE
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
